titre,date_poste,date_fin,description,contrat,ville,pays,entreprise,langue
technicien electrique,2023-02-24 11:03:40,2023-04-25 11:03:40,nous recrutons pour notre client deux techniciens electrique pour le câblage et la mise en service d'une nouvelle chaudière à bouskoura.,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
responsable administratif et financier,2023-02-24 10:21:24,2023-04-25 10:21:24,"missions :. . piloter les missions de planification, de gestion et de coordination des tâches administratives. définir et d’améliorer les procédures de gestion administrative et de suivi comptable. elaborer et mettre en place des tableaux de bord et ensuite conseiller les directions opérationnelles.. mettre en place les techniques financières indispensables au développement et à la protection de l’entreprise. définir la politique financière et suivre sa mise en œuvre. assurer la gestion administrative des assurances et des contentieux…..",CDI,oujda,maroc,bioui travaux,fr
hôtesse de caisse,2023-02-24 10:06:45,2023-04-25 10:06:45,missions :. . procéder aux ouvertures et fermetures de caisse. enregistrer les achats. contrôler le flux client. contrôler les fonds de caisse. remplir les bordereaux de caisse. gérer la file d'attente. contrôler les produits lors du passage en caisse. informer sur les erreurs de prix si nécessaire.,Intérim,casablanca,maroc,tectra,fr
chargée de clientèle,2023-02-24 10:05:33,2023-04-25 10:05:33,"missions :. . disposer les articles dans les rayons,. vérifier l’étiquetage des prix,. veiller à l’approvisionnement des rayons,. accueillir et conseiller les clients,. fournir les informations demandées, faire la démonstration des articles si nécessaire..",Intérim,casablanca,maroc,tectra,fr
responsable ressources humaines,2023-02-24 09:47:15,2023-04-25 09:47:15,"poste basé à oujda (siège). missions :. rattaché à la direction générale, et responsable du service ressources humaines vous serez en charge de :. - analyser les besoins humains de l’entreprise ;. - élaborer et proposer à la direction une politique de gestion du personnel et de développement des ressources humaines, et définit les conditions générales de son application ;. - mettre en place les outils rh nécessaires au bon fonctionnement de l’entreprise (grille de salaires, …) ;. - superviser et encadrer l’équipe en charge de la gestion et la paie du personnel ;. - assurer la conduite de la gestion du personnel et l'application de la réglementation sociale en intégrant les règles et les procédures du droit du travail ;. - assurer un soutien aux managers dans le développement des équipes et l'amélioration du climat de travail ;. - entretenir les relations avec les partenaires sociaux ;. - accompagner le changement et assurer un climat social positif au quotidien.",CDI,oujda,maroc,bioui travaux,fr
chargé de recouvrement,2023-02-24 09:45:10,2023-04-25 09:45:10,"missions :. . prise de contact avec les débiteurs pour obtenir le paiement intégral de la dette. recueil les arguments des débiteurs sur les causes de l’impayé. établissement avec le débiteur, le diagnostic précis de sa situation financière (actif et passif).. suivi des encaissements selon l’échéancier convenu.",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
chargés de portefeuille,2023-02-24 09:39:51,2023-04-25 09:39:51,"fondation arrawaj, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences.dans le cadre de son développement, la fondation arrawaj recrute des chargés de portefeuille h/f au niveau de notre agence à casablanca derb sultan.. missions :. en tant que « chargé de portefeuille », vous aurez pour principales missions : . . gérer et développer le portefeuille client. faire des prospections de nouveaux clients. mettre en avant nos produits et nos services auprès des clients potentiels. accompagner et conseiller les clients. fidéliser les clients. veiller à garder un contact régulier avec les clients. gérer et suivre les dossiers en cours. faire du recouvrement terrain..",CDI,casablanca,maroc,fondation arrawaj,fr
chargés de portefeuille,2023-02-24 09:39:43,2023-04-25 09:39:43,"fondation arrawaj, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences.dans le cadre de son développement, la fondation arrawaj recrute des chargés de portefeuille h/f au niveau de notre agence à tanger.. missions :. en tant que « chargé de portefeuille », vous aurez pour principales missions : . . gérer et développer le portefeuille client. faire des prospections de nouveaux clients. mettre en avant nos produits et nos services auprès des clients potentiels. accompagner et conseiller les clients. fidéliser les clients. veiller à garder un contact régulier avec les clients. gérer et suivre les dossiers en cours. faire du recouvrement terrain..",CDI,tanger,maroc,fondation arrawaj,fr
chargés de portefeuille,2023-02-24 09:39:35,2023-04-25 09:39:35,"fondation arrawaj, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences.dans le cadre de son développement, la fondation arrawaj recrute des chargés de portefeuille h/f au niveau de notre agence à casablanca.. missions :. en tant que « chargé de portefeuille », vous aurez pour principales missions : . . gérer et développer le portefeuille client. faire des prospections de nouveaux clients. mettre en avant nos produits et nos services auprès des clients potentiels. accompagner et conseiller les clients. fidéliser les clients. veiller à garder un contact régulier avec les clients. gérer et suivre les dossiers en cours. faire du recouvrement terrain..",CDI,casablanca,maroc,fondation arrawaj,fr
chargés de portefeuille,2023-02-24 09:39:25,2023-04-25 09:39:25,"fondation arrawaj, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences.dans le cadre de son développement, la fondation arrawaj recrute des chargés de portefeuille h/f au niveau de notre agence à safi .. missions :. en tant que « chargé de portefeuille », vous aurez pour principales missions : . . gérer et développer le portefeuille client. faire des prospections de nouveaux clients. mettre en avant nos produits et nos services auprès des clients potentiels. accompagner et conseiller les clients. fidéliser les clients. veiller à garder un contact régulier avec les clients. gérer et suivre les dossiers en cours. faire du recouvrement terrain..",CDI,safi,maroc,fondation arrawaj,fr
